"Genre","Longform Infographic","Dynamic Slideshow","Multimedia Visual Experience","Communicating Narrative and Explaining Data","Textual Narrative","Audio Narration","Labeling","Text Annotations on Visualizations","Tooltips","Element Highlighting","""Real-time"" Extension","Linking Separated Story Elements","Interaction","Color","Animation","Providing Context and Navigation","Next/Previous Buttons","Scrollytelling","Basic Scrolling","Breadcrumbs","Section Header Buttons","Menu Selection","Timeline","Geographic Map","Providing Controlled Exploration","Dynamic Queries","Embedded E.V.","Separate E.V.","Visual Encoding of Space-Time","Map-Independent Time Visualization","Multiple Coordinated Views","Animation or Slideshow","Layer Superimposition","Layer Juxtaposition","Title","Year","Source","Theme","Authors","Link"
"1","1","","","1","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","1","","","","","1","Why American Women Everywhere Are Delaying Motherhood","2021","NYT","Society & Health","Sabrina Tavernise, Claire Cain Miller, Quoctrung Bui and Robert Gebeloff","https://www.nytimes.com/2021/06/16/us/declining-birthrate-motherhood.html"
"1","1","","","1","1","","1","","1","","","1","1","1","1","1","","","1","","","","","","1","1","","","1","1","","1","1","","Tracking the coronavirus across Europe","2021","The Economist","Society & Health","The Economist Staff","https://www.economist.com/graphic-detail/tracking-coronavirus-across-europe"
"1","1","","","1","1","","1","1","","","","1","","1","1","1","","","1","","","","","","1","1","1","","1","","","1","1","","Where America’s developed areas are growing: ‘Way off into the horizon’ ","2021","Washington Post","Society & Health","Zach Levitt and Jess Eng","https://www.washingtonpost.com/nation/interactive/2021/land-development-urban-growth-maps/"
"1","1","","","1","1","","1","1","","","","1","","1","","1","","","1","","","","","","","","","","1","1","","","1","","A visual guide of NASA’s plan to get back to the moon","2022","National Geographic","Society & Health","Ben Scott","https://www.nationalgeographic.com/magazine/graphics/a-visual-guide-of-nasas-plan-to-get-back-to-the-moon"
"1","1","","","1","1","","1","1","1","1","","1","","1","1","1","","1","1","","","","","","","","","","1","1","1","1","","","Visualizing the omicron wave striking and rolling across the country","2022","Washington Post","Society & Health","Dan Keating, Madison Dong and Tim Meko
","https://www.washingtonpost.com/health/interactive/2022/omicron-wave-spread-maps/?itid=ap_dankeating"
"1","1","","","1","1","","1","1","","1","","1","","1","","1","","","1","","","","","1","","","","","1","1","1","","","","Why the Global Oil Market Hinges on Five U.S. Counties","2022","Bloomberg","Society & Health","David Wethe, Sheela Tobben, Kevin Crowley and Paul Takahashi","https://www.bloomberg.com/graphics/2022-global-oil-permian-basin/"
"1","1","","","1","1","","1","1","","1","","1","","1","1","1","","1","","","","","","","","","","","1","1","","","","","How America Lost One Million People","2022","NYT","Society & Health","Jeremy White, Amy Harmon, Danielle Ivory, Lauren Leatherby, Albert Sun and Sarah Almukhtar","https://www.nytimes.com/interactive/2022/05/13/us/covid-deaths-us-one-million.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","1","","","","","","","","","","","1","","","1","","","Mapping the Coolest Spots Inside the World’s Sweltering Cities","2022","Bloomberg","Society & Health","Laura Millan Lombrana, Hayley Warren and Jeremy Scott Diamond","https://www.bloomberg.com/graphics/2022-city-heatwave-adaptations/"
"1","1","","","1","1","","1","","1","","","","","","","1","","","1","","","","","","1","1","1","","1","1","","","","","One London Borough Is Continuing to Boom as Housing Market Slows","2022","Bloomberg","Society & Health","Neil Callanan","https://www.bloomberg.com/graphics/2022-london-property-prices-housing-market-slows-one-borough-booms/"
"1","1","","","1","1","","1","","1","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","See Flood Waters Rise Across the Carolinas After Hurricane Florence","2018","NYT","Climate","Audrey Carlsen, K.K. Rebecca Lai, Ash Ngu, Adam Pearce and Anjali Singhvi","https://www.nytimes.com/interactive/2018/09/18/us/hurricane-florence-flooding.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","1","1","","","","","","","","","","1","","","1","1","","What Happens to the Plastic We Throw Out","2018","National Geographic","Climate","Laura Parker","https://www.nationalgeographic.com/magazine/graphics/the-journey-of-plastic-around-the-globe"
"1","","","1","1","1","1","1","","","1","","","","","","1","1","1","1","","","","","","","","","","1","","","1","","","Billions of Birds Migrate.Where Do They Go?","2018","National Geographic","Climate","Marshall Iliff","https://www.nationalgeographic.com/magazine/graphics/bird-migration-interactive-maps"
"1","1","","","1","1","","1","1","","1","","1","1","1","1","1","","1","1","","","1","","","1","1","1","","1","","1","1","","","How Much Hotter Is Your Hometown Than When You Were Born?","2018","NYT","Climate","Nadja Popovich, Blacki Migliozzi, Rumsey Taylor, Josh Williams and Derek Watkins","https://www.nytimes.com/interactive/2018/08/30/climate/how-much-hotter-is-your-hometown.html?action=click&module=RelatedLinks&pgtype=Article"
"1","","1","","1","1","","","","","1","","1","","1","","1","1","","","","","","","","","","","","1","","","1","","","Those Hurricane Maps Don’t Mean What You Think They Mean","2019","NYT","Climate","Alberto Cairo","https://www.nytimes.com/interactive/2019/08/29/opinion/hurricane-dorian-forecast-map.html"
"1","1","","","1","1","","1","1","","1","","1","","1","1","1","","","1","","","","","1","","","","","1","1","","1","","","How Two Big Earthquakes Triggered 16,000 More in Southern California","2019","NYT","Climate","Derek Watkins","https://www.nytimes.com/interactive/2019/07/19/us/california-earthquakes.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","1","","","","","1","","","","","1","What Satellite Imagery Tells Us About the Amazon Rain Forest Fires","2019","NYT","Climate","K.K. Rebecca Lai, Denise Lu and Blacki Migliozzi","https://www.nytimes.com/interactive/2019/08/24/world/americas/amazon-rain-forest-fire-maps.html"
"1","","","1","1","1","1","1","1","","","1","","","","","1","1","","1","","1","","1","1","","","","","1","","","","1","","Aerial footage reveals extent of storm devastation in Bahamas – as it happened","2019","The Guardian","Climate","Kari Paul and Joanna Walters","https://www.theguardian.com/world/live/2019/sep/03/hurricane-dorian-bahamas-florida-storm-flooding-live-updates?page=with:block-5d6e51b18f0845a5dab7c642"
"1","1","","","1","1","","1","1","","1","","1","","1","1","1","","1","","","1","","","1","1","1","1","","1","","","1","","","In a Notoriously Polluted Area of the Country, Massive New Chemical Plants Are Still Moving In","2019","ProPublica","Climate","Lylla Younes, Al Shaw and Claire Perlman","https://projects.propublica.org/louisiana-toxic-air/"
"1","1","","","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","","1","1","","Live Maps: Tracking Hurricane Dorian’s Path","2019","NYT","Climate","Matthew Bloch and Denise Lu","https://www.nytimes.com/interactive/2019/09/06/us/hurricane-dorian-path-map-track.html"
"1","1","","","1","1","","1","1","","1","","","","","","1","","1","1","","","","","","","","","","1","","","","1","","Here’s Where the Amazon Is Burning and Why It’s Going to Get Worse","2019","Bloomberg","Climate","Mira Rojanasakul and Tatiana Freitas","https://www.bloomberg.com/graphics/2019-why-amazon-rainforest-is-on-fire/"
"1","1","","","1","1","","1","1","","1","","1","1","1","1","1","","1","1","","","1","","","","","","","1","1","","1","1","","See How the World’s Most Polluted Air Compares With Your City’s","2019","NYT","Climate","Nadja Popovich, Blacki Migliozzi, Karthik Patanjali, Anjali Singhvi and Jon Huang","https://www.nytimes.com/interactive/2019/12/02/climate/air-pollution-compare-ar-ul.html"
"1","1","","","1","1","","1","1","1","1","","1","","1","","1","","","1","","","","","","","","","","1","","","1","","","A Quarter of Humanity Faces Looming Water Crises","2019","NYT","Climate","Somini Sengupta and Weiyi Cai","https://www.nytimes.com/interactive/2019/08/06/climate/world-water-stress.html"
"1","1","","","1","1","","1","1","","1","","1","","1","","1","","","1","","","","","1","","","","","1","","","","1","","Mapping America’s wicked weather and deadly disasters ","2019","Washington Post","Climate","Tim Meko","https://www.washingtonpost.com/graphics/2019/national/mapping-disasters/"
"1","1","","","1","1","","1","1","","1","","1","","1","1","1","","","1","","","","","1","","","","","1","1","","1","1","","Time Is Running Out to Save the Last of the World’s Rainforest","2020","Bloomberg","Climate","Adam Majendie, Pablo Robles, Kevin Varley, Adrian Leung and Hannah Dormido","https://www.bloomberg.com/graphics/2020-the-last-of-the-rainforest/"
"1","1","","","1","1","","1","","","1","","1","","1","","1","","1","1","","","","","","1","1","","","1","","","","1","","New Maps Show How Climate Change is Making California’s “Fire Weather” Worse","2020","ProPublica","Climate","Al Shaw and Elizabeth Weil","https://projects.propublica.org/california-fire-weather/"
"1","","","1","1","1","","1","","","","","1","","1","1","1","","1","1","","","","","1","1","","1","","1","","","1","1","","Safe passages","2020","Washington Post","Climate","Ben Guarino","https://www.washingtonpost.com/graphics/2020/climate-solutions/wyoming-wildlife-corridor/"
"1","1","","","1","1","","1","","","1","","1","","","1","1","","1","1","","","","","1","","","","","1","1","","1","1","","Record Wildfires on the West Coast Are Capping a Disastrous Decade","2020","NYT","Climate","Blacki Migliozzi, Scott Reinhard, Nadja Popovich, Tim Wallace and Allison McCann","https://www.nytimes.com/interactive/2020/09/24/climate/fires-worst-year-california-oregon-washington.html?action=click&module=RelatedLinks&pgtype=Article"
"1","1","","","1","1","","1","1","","","","1","1","1","1","1","","1","1","","","1","","","1","1","","","1","1","","","","1","Your Climate, Changed","2020","National Geographic","Climate","Brian T. Jacobs, Riley Champine, Jason Treat, Alejandra Borunda. Research: Kaya Berne","https://www.nationalgeographic.com/magazine/graphics/see-how-your-citys-climate-might-change-by-2070-feature"
"1","1","","","1","1","","1","1","","1","","1","","1","1","1","","1","1","","","","","","","","","","1","1","","1","","","Life and Death in Our Hot Future Will Be Shaped by Today’s Income Inequality","2020","Bloomberg","Climate","Eric Roston, Paul Murray and Rachael Dottle","https://www.bloomberg.com/graphics/2020-climate-heat-inequality/?leadSource=uverify%20wall"
"1","1","","","1","1","","1","","","","","","","","","1","","","1","","","","","","1","","","1","1","","","","1","","Isaias Reaches Canada as a Dwindling Storm","2020","NYT","Climate","Johnny Diaz, Christopher Flavelle, Henry Fountain, Patrick J. Lyons, Tara Parker-Pope, Rick Rojas, Lucy Tompkins, Daniel Victor, Will Wright, Alan Yuhas and Mihir Zaveri","https://www.nytimes.com/2020/08/04/us/isaias-storm-updates.html"
"1","1","","","1","1","","1","1","","1","","1","","1","","1","","","1","","","","","","","","","","1","","","","1","","World’s biggest iceberg heads for disaster","2020","Reuters","Climate","Marco Hernandez  and  Cassandra Garrison","https://graphics.reuters.com/CLIMATE-CHANGE/ICEBERG/yzdvxjrbzvx/index.html"
"1","","","1","1","1","","1","1","","","","1","","1","","1","","","1","","","","","","","","","","1","","","1","","1","Shifting smoke","2020","Reuters","Climate","Marco Hernandez , Manas Sharma , Simon Scarr and Katy Daigle","https://graphics.reuters.com/USA-WILDFIRE/POLLUTION/xlbpgjgervq/index.html"
"1","","","1","1","1","","1","1","","1","","1","","1","","1","","","1","","","","","","","","","","1","","","1","","","Air attack","2020","Reuters","Climate","Marco Hernandez , Simon Scarr and Manas Sharma","https://graphics.reuters.com/CALIFORNIA-WILDFIRE/AIRCRAFT/bdwpkzmyyvm/index.html"
"1","","","1","1","1","","1","1","","1","","1","","1","1","1","","1","1","","","","","","","","","","1","","","1","","1","This is what fuels the West's infernos","2020","Washington Post","Climate","Sarah Kaplan, John Muyskens, Chris Alcantara and Andrew Freedman","https://www.washingtonpost.com/graphics/2020/climate-environment/north-complex-fire-california-climate-change/"
"1","1","","","1","1","","","1","","1","","1","","1","1","1","","1","","","","","","","","","","","1","","","1","","","Every Place Under Threat","2020","NYT","Climate","Yaryna Serkez","https://www.nytimes.com/interactive/2020/10/02/opinion/amazon-under-threat.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","","","","","","1","1","","","","","How Much Are Countries Pledging to Reduce Emissions?","2021","NYT","Climate","Brad Plumer, Blacki Migliozzi and Nadja Popovich","https://www.nytimes.com/interactive/2021/11/01/climate/paris-pledges-tracker-cop-26.html"
"1","1","","","1","1","","1","","","","","1","","1","1","1","","1","1","","","","","1","","","","","1","1","","","","","The high price of heat","2021","National Geographic","Climate","Jason Treat, Christine Fellenz, Eve Conant, Kennedy Elliott","https://www.nationalgeographic.com/magazine/graphics/the-places-where-heat-will-have-the-greatest-cost-in-money-and-lives-feature"
"1","1","","","1","1","","1","","1","1","","1","","1","","1","","","1","","","","","","1","1","1","","1","1","1","1","","","Wo Atomkraftwerke abgeschaltet werden – und wo neue ans Netz gehen","2021","Berliner Morgenpost","Climate","Marie-Louise Timcke, André Pätzold, Benja Zehr, Sebastian Vollnhals and Ida Flik","https://interaktiv.morgenpost.de/fukushima-atomkraftwerke-atomausstieg-deutschland/"
"1","1","","","1","1","","","1","","","","1","","1","","1","","1","1","","","","","","","","","","1","","","1","","","In the Atlantic Ocean, Subtle Shifts Hint at Dramatic Dangers","2021","NYT","Climate","Moises Velasquez-Manoff and Jeremy White","https://www.nytimes.com/interactive/2021/03/02/climate/atlantic-ocean-climate-change.html"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","1","","","","","1","","","","","1","How Severe Is the Western Drought? See For Yourself.","2021","NYT","Climate","Nadja Popovich","https://www.nytimes.com/interactive/2021/06/11/climate/california-western-drought-map.html"
